
Folder                       SizeBytes SizeMB LastWrite
------                       --------- ------ ---------
.venv                        168532795 160,70 13.09.2025 16:17:49
logs                           1968536   1,90 13.09.2025 20:01:01
pilot_agent_repo_updated         26104   0,00 13.09.2025 13:39:50
OPS                              19798   0,00 13.09.2025 20:10:59
tasks                            16110   0,00 13.09.2025 16:21:50
ultimate_assistant_scripts       12317   0,00 13.09.2025 17:50:12
ultimate_assistant_skeletons     11695   0,00 13.09.2025 17:51:58
pilot_inputs_bundle               7813   0,00 13.09.2025 17:47:28
__pycache__                       2709   0,00 13.09.2025 16:17:49
POLICIES                          1976   0,00 13.09.2025 16:24:18
CURRENT                            740   0,00 13.09.2025 19:23:35
prompts                            275   0,00 13.09.2025 20:04:12
ARCHIVE                             52   0,00 13.09.2025 13:31:54
previews                             0   0,00 
RAW                                  0   0,00 

