"Path","RelPath","Ext","Bytes","LastWrite"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.env",".env",".env","1160","13.09.2025 16:27:48"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\backlog.md","backlog.md",".md","2849","13.09.2025 13:39:50"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\config.py","config.py",".py","1986","13.09.2025 13:31:10"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\digest_task.ps1","digest_task.ps1",".ps1","152","13.09.2025 18:57:09"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\digest.ps1","digest.ps1",".ps1","1875","13.09.2025 17:05:42"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\main.py","main.py",".py","3948","13.09.2025 13:31:48"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\operating_policy.md","operating_policy.md",".md","2370","13.09.2025 13:39:50"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\README.md","README.md",".md","4069","13.09.2025 13:30:44"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\requirements.txt","requirements.txt",".txt","146","13.09.2025 16:17:30"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\run_maintenance.ps1","run_maintenance.ps1",".ps1","764","13.09.2025 16:51:34"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\system_prompt.md","system_prompt.md",".md","2536","13.09.2025 13:30:54"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\.gitignore",".venv\.gitignore",".gitignore","71","13.09.2025 16:17:16"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\pyvenv.cfg",".venv\pyvenv.cfg",".cfg","204","13.09.2025 16:17:16"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\typing_extensions.py",".venv\Lib\site-packages\typing_extensions.py",".py","160429","13.09.2025 16:17:33"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\adbc_driver_duckdb\__init__.py",".venv\Lib\site-packages\adbc_driver_duckdb\__init__.py",".py","1674","13.09.2025 16:17:38"
